Locality,Country,lat,long,alt,AcLi,Acli,acLi,acli,no_AcLi,no_Acli,no_acLi,no_acli,no_plants,AcAc,Acac,acac,LiLi,Lili,lili,freqAc,freqLi,freqHCN,Continent,ID,Collector
Rupprechtshofen,Austria,48.136033,15.273435,244,7.8,4.8,15.5,71.9,8.034,4.944,15.965,74.057,103,0.004,0.122,0.874,0.015,0.218,0.767,0.065120329,0.124214638,0.078,Europe,182,daday
Brussels,Belgium,50.846911,4.351106,21,43.2,28.4,21,7.4,34.992,23.004,17.01,5.994,81,0.218,0.498,0.284,0.162,0.48,0.358,0.467083496,0.401668988,0.432,Europe,183,daday
Bohemia,Czech Republic,50.078858,14.43717,235,3.1,,,96.9,2.976,0,0,93.024,96,,,,,,,0.015622024,0.015622024,0.031,Europe,184,daday
North Jutland,Denmark,57.036972,9.930653,6,9.1,13.7,14.7,62.5,17.927,26.989,28.959,123.125,197,0.015,0.213,0.772,0.016,0.222,0.762,0.121364695,0.127073886,0.091,Europe,185,daday
Cherbourg,France,49.640199,-1.624342,9,85.7,14.3,0,0,29.995,5.005,0,0,35,1,0,0,,,,1,0.621846592,0.857,Europe,186,daday
Clermont-Ferrand,France,45.778379,3.087651,404,82.8,6.1,9.1,2,81.972,6.039,9.009,1.98,99,0.445,0.444,0.111,0.512,0.407,0.081,0.666833375,0.715395011,0.828,Europe,187,daday
Finistere,France,48.279078,-3.906039,151,80.2,15.1,4.7,0,85.012,16.006,4.982,0,106,0.613,0.34,0.047,0.374,0.475,0.151,0.783205166,0.611412815,0.802,Europe,188,daday
La Rochelle,France,46.163105,-1.150341,9,81.7,18.3,0,0,49.02,10.98,0,0,60,1,0,0,,,,1,0.572215007,0.817,Europe,189,daday
Paris,France,48.851575,2.354006,35,84.3,15.7,0,0,16.017,2.983,0,0,19,1,0,0,,,,1,0.603767745,0.843,Europe,190,daday
St-Brieuc,France,48.511458,-2.765637,92,92.8,7.2,0,0,219.008,16.992,0,0,236,1,0,0,,,,1,0.731671843,0.928,Europe,191,daday
Frankfurt a/M,Germany,50.115531,8.683649,105,64.8,17.1,11.6,6.5,128.952,34.029,23.084,12.935,199,0.331,0.488,0.181,0.264,0.5,0.236,0.574559052,0.514201688,0.648,Europe,192,daday
Giesson,Germany,50.581174,8.675482,161,17.5,57.5,10,15,7,23,4,6,40,0.25,0.5,0.35,0.022,0.253,0.725,0.5,0.148530682,0.175,Europe,193,daday
Hanover,Germany,52.382466,9.732649,57,5.6,6.8,22.8,64.8,9.072,11.016,36.936,104.976,162,0.004,0.12,0.876,0.024,0.26,0.716,0.064051283,0.153832168,0.056,Europe,194,daday
