ID,country,city,date_collected
56,Spain,Granada,X2018.07.08
58,Spain,Granada,X2018.07.08
59,Spain,Salamanca,X2018.07.09
61,Spain,La Coruna,X2018.07.10
62,Spain,San Sebastian,X2018.07.10
64,France,La Rochelle,X2018.07.11
68,France,Finistere,X2018.07.12
69,France,St-Brieuc,X2018.07.12
72,France,Cherbourg,X2018.07.13
77,France,Paris,X2018.07.14
81,Belgium,Brussels,X2018.07.15
82,Netherlands,Breda,X2018.07.16
84,Netherlands,Groningen,X2018.07.16
88,Germany,Scheessel,X2018.07.17
91,Denmark,Aarhus,X2018.07.19
93,Denmark,Aalborg,X2018.07.19
96,Czech Republic,Prague,X2018.07.23
100,Germany,Straubing,X2018.07.25
101,Germany,Straubing,X2018.07.25
102,Austria,Ruprechtshofen,X2018.07.26
105,Hungary,Mosonmagyarovar,X2018.07.27
106,Austria,Melk,X2018.07.27
108,Italy,San Daniele del Fruili,X2018.07.28
110,Italy,Milan,X2018.07.28
111,Switzerland,Swiss Alps,X2018.07.29
113,Switzerland,Lausanne,X2018.07.29
117,Switzerland,Zurich,X2018.07.30
122,Germany,Hohenheim,X2018.07.31
124,Germany,Frankfurt,X2018.08.02
126,Germany,Giessen,X2018.08.02
127,Germany,Cologne,X2018.08.03
130,Belgium,Liege,X2018.08.04
133,France,Reims,X2018.08.05
135,France,Troyes,X2018.08.06
138,France,Auxerre,X2018.08.07
140,France,Nevers,X2018.08.08
142,France,Autun,X2018.08.09
144,France,Autun,X2018.08.09
146,France,Beaune,X2018.08.10
149,France,Dijon,X2018.08.12
150,France,Lyon,X2018.08.14
154,France,Clermont-Ferrand,X2018.08.17
155,Spain,Girona,X2018.08.23
156,Spain,Barcelona,X2018.08.25
157,Sweden,Stockholm,X2018.08.26
158,Sweden,Umea,X2018.08.27
160,Sweden,Umea (Stromback),X2018.08.27
161,Sweden,Lulea,X2018.08.28
162,Sweden,Lulea,X2018.08.28
