ID,Locality,lat,long,freqHCN,freqAc,freqLi,Mean winter temp.,N,Time sampled,Country,Continent,Hemisphere,Data provenance,Year of collection
27,Kyoto,35.01678,135.58803,0.5208333333333334,0.521286446121831,0.44098300562505255,2.5800000190734864,48,Contemporary,Japan,Asia,North,Present study,2018
28,Hiroshima,34.38309,132.4581,0.475,0.6127016653792583,0.31079756239548895,4.1600000858306885,40,Contemporary,Japan,Asia,North,Present study,2018
29,Hiroshima,34.53772,132.52475,0.3541666666666667,0.5435645354123615,0.2783121635129677,2.3400000810623167,48,Contemporary,Japan,Asia,North,Present study,2018
30,Awaji Island,34.58295,135.0173,0.21428571428571427,0.6220355269907728,0.15484574527148343,5.020000076293945,14,Contemporary,Japan,Asia,North,Present study,2018
31,Nahari,33.36836,134.05797,0.8372093023255814,0.8475014296673953,0.6264563161811858,7.100000095367432,43,Contemporary,Japan,Asia,North,Present study,2018
32,Konan,33.55101,133.73491,0.775,1,0.5256583509747431,2.9000000238418577,40,Contemporary,Japan,Asia,North,Present study,2018
33,Otoyo,33.77164,133.65277,0.8125,0.6772513878160487,0.6181186920870133,2.9000000238418577,48,Contemporary,Japan,Asia,North,Present study,2018
34,Zentsuji,34.21963,133.77861,0,0.7226499018873854,0,5.300000095367432,13,Contemporary,Japan,Asia,North,Present study,2018
36,Kyoto,35.07452,135.76575,0.6666666666666666,1,0.42264973081037427,2.5800000190734864,15,Contemporary,Japan,Asia,North,Present study,2018
38,Nishi-Oyama,31.19172,130.57834,0.8571428571428571,1,0.6220355269907728,8.460000324249268,14,Contemporary,Japan,Asia,North,Present study,2018
40,Yamagawaokachiyogamizu,31.17523,130.59019,0.8648648648648649,0.8356010126946427,0.6666666666666667,8.460000324249268,37,Contemporary,Japan,Asia,North,Present study,2018
41,Kumamoto,32.79179,130.69621,0.3541666666666667,0.47958350013346684,0.23623738417402662,4.66000018119812,48,Contemporary,Japan,Asia,North,Present study,2018
42,Kumamoto,32.88171,130.74734,0.275,0.6464466094067263,0.20943058495790512,4.66000018119812,40,Contemporary,Japan,Asia,North,Present study,2018
43,Izumi,32.08979,130.35683,1,1,1,6.980000114440918,14,Contemporary,Japan,Asia,North,Present study,2018
44,Kagoshima,31.58501,130.54626,0.42592592592592593,0.54866453307578,0.2928932188134524,6.2000000953674315,54,Contemporary,Japan,Asia,North,Present study,2018
45,Kirishima,31.80088,130.7148,0.5416666666666666,0.47958350013346684,0.44098300562505255,6.2000000953674315,48,Contemporary,Japan,Asia,North,Present study,2018
46,Obama,35.50039,135.7372,0.7291666666666666,0.75,0.5,3.480000066757202,48,Contemporary,Japan,Asia,North,Present study,2018
47,Sakajiri,35.62166,135.96698,0.4583333333333333,0.521286446121831,0.3545027756320972,3.480000066757202,48,Contemporary,Japan,Asia,North,Present study,2018
48,Hakodate,41.77472,140.7298,0.08333333333333333,0.25,0.17084380241115005,-3.200000023841858,48,Contemporary,Japan,Asia,North,Present study,2018
50,Sapporo,43.10601,141.40253,0.36363636363636365,1,0.2022759647825344,-5.400000143051147,11,Contemporary,Japan,Asia,North,Present study,2018
51,Sapporo,43.08765,141.42136,0.16666666666666666,0.2227184122425988,0.15837458846982677,-5.400000143051147,48,Contemporary,Japan,Asia,North,Present study,2018
52,Sendai,38.25701,140.86641,0.025,0.14853068170368,0.07804555427071125,-1.240000021457672,40,Contemporary,Japan,Asia,North,Present study,2018
53,Sendai,38.14228,140.88191,0.2127659574468085,0.45422317709018467,0.18785809855351854,-1.240000021457672,47,Contemporary,Japan,Asia,North,Present study,2018
54,Tokyo,35.675233,139.756976,0.20833333333333334,0.32299679961367,0.20943058495790512,4.720000123977661,48,Contemporary,Japan,Asia,North,Present study,2018
55,Tokyo,35.678104,139.809394,0.1875,0.5,0.12202885392893836,4.720000123977661,48,Contemporary,Japan,Asia,North,Present study,2018
165,Hokkaido,44.331298,142.452619,0.275,0.4522774424948339,0.241712455594845,-8.260000228881836,40,Contemporary,Japan,Asia,North,Present study,2018
102,Ruprechtshofen,48.132969,15.276226,0.17647058823529413,0.2140947520066242,0.1425070742874558,-0.9600000023841858,34,Contemporary,Austria,Europe,North,Present study,2018
106,Melk,48.218928,15.348284,0.1,0.2583801512904337,0.19377422517014498,-0.9600000023841858,40,Contemporary,Austria,Europe,North,Present study,2018
81,Brussels,51.04094,4.32943,0.09090909090909091,0.23129388521419258,0.09546596626670911,4.400000190734863,44,Contemporary,Belgium,Europe,North,Present study,2018
130,Liege,50.655972,5.712493,0.4375,0.7113248654051871,0.2783121635129677,3.4000001192092895,48,Contemporary,Belgium,Europe,North,Present study,2018
96,Prague,50.08782,14.445702,0.05,0.14853068170368,0.025320565519103666,-0.7400000095367432,40,Contemporary,Czech Republic,Europe,North,Present study,2018
91,Odum,56.31104,10.13438,0.6904761904761905,0.7327387580875756,0.488233684280841,0.6400000065565109,42,Contemporary,Denmark,Europe,North,Present study,2018
93,Aalborg,56.95156,9.86449,0.15,0.2583801512904337,0.09170489377075253,0.31999998092651366,40,Contemporary,Denmark,Europe,North,Present study,2018
64,La Rochelle,46.15433,-1.14873,0.8947368421052632,1,0.6755571577384749,7.160000038146973,38,Contemporary,France,Europe,North,Present study,2018
68,Finistere,48.16123,-4.04052,0.8125,0.7958758547680684,0.6181186920870133,7.300000190734863,48,Contemporary,France,Europe,North,Present study,2018
69,St Brieuc,48.31056,-3.15612,0.9,1,0.683772233983162,6.760000133514405,30,Contemporary,France,Europe,North,Present study,2018
72,Valognes,49.49704,-1.46699,0.9512195121951219,1,0.779136947850307,6.540000057220459,41,Contemporary,France,Europe,North,Present study,2018
77,Paris,49.055,2.54941,0.525,0.726138721247417,0.3291796067500631,4.960000038146973,40,Contemporary,France,Europe,North,Present study,2018
133,Reims,49.268921,4.070319,0.08333333333333333,0.5,0.072039272861663,3.640000057220459,36,Contemporary,France,Europe,North,Present study,2018
