ID,country,city,u.r,pop,ind,lat,long,alt,hcn,Ac,Li,Collector,,,,,
1,Chile,El Volcan,r,1,1,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,2,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,3,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,4,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,5,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,6,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,7,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,8,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,9,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,10,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,11,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,12,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,13,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,14,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,15,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,16,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,17,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,18,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,19,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,20,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,21,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,22,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,23,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,24,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,25,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,26,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,27,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,28,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,29,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,30,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,31,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,32,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,33,-39.348515,-71.97026,753,0,1,0,innes,,,,,
1,Chile,El Volcan,r,1,34,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,35,-39.348515,-71.97026,753,0,0,0,innes,,,,,
1,Chile,El Volcan,r,1,36,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,37,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,38,-39.348515,-71.97026,753,1,1,1,innes,,,,,
1,Chile,El Volcan,r,1,39,-39.348515,-71.97026,753,1,1,1,innes,,,,,
2,Ecuador,Quito,u,1,1,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,2,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,3,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,4,-0.181042,-78.484199,2767,0,0,1,innes,,,,,
2,Ecuador,Quito,u,1,5,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,6,-0.181042,-78.484199,2767,0,1,0,innes,,,,,
2,Ecuador,Quito,u,1,7,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,8,-0.181042,-78.484199,2767,0,0,1,innes,,,,,
2,Ecuador,Quito,u,1,9,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,10,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,11,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,12,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,13,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,14,-0.181042,-78.484199,2767,1,1,1,innes,,,,,
2,Ecuador,Quito,u,1,15,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,16,-0.181042,-78.484199,2767,0,0,1,innes,,,,,
2,Ecuador,Quito,u,1,17,-0.181042,-78.484199,2767,0,1,0,innes,,,,,
2,Ecuador,Quito,u,1,18,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,19,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,20,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,21,-0.181042,-78.484199,2767,0,1,0,innes,,,,,
2,Ecuador,Quito,u,1,22,-0.181042,-78.484199,2767,0,1,0,innes,,,,,
2,Ecuador,Quito,u,1,23,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,24,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,25,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,26,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,27,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,28,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,29,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,30,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,31,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,32,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,33,-0.181042,-78.484199,2767,1,1,1,innes,,,,,
2,Ecuador,Quito,u,1,34,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,35,-0.181042,-78.484199,2767,0,0,1,innes,,,,,
2,Ecuador,Quito,u,1,36,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
2,Ecuador,Quito,u,1,37,-0.181042,-78.484199,2767,0,0,0,innes,,,,,
3,Chile,Santiago,r,1,1,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,2,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,3,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,4,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,5,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,6,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,7,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,8,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,9,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,10,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,11,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,12,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,13,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,14,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,15,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,16,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,17,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,18,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,19,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,20,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,21,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,22,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,23,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,24,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,25,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,26,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,27,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,28,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,29,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,30,-33.78529,-70.65858,447,0,0,0,innes,,,,,
3,Chile,Santiago,r,1,31,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,32,-33.78529,-70.65858,447,0,0,1,innes,,,,,
3,Chile,Santiago,r,1,33,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,34,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,35,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,36,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,37,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,38,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,39,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,40,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,41,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,42,-33.78529,-70.65858,447,0,1,0,innes,,,,,
3,Chile,Santiago,r,1,43,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,44,-33.78529,-70.65858,447,1,1,1,innes,,,,,
3,Chile,Santiago,r,1,45,-33.78529,-70.65858,447,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,1,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,2,-31.627935,-64.70824,1818,0,0,1,innes,,,,,
4,Argentina,Cordoba,r,1,3,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,4,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,5,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,6,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,7,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,8,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,9,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,10,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,11,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,12,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,13,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,14,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,15,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,16,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,17,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,18,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,19,-31.627935,-64.70824,1818,0,0,1,innes,,,,,
4,Argentina,Cordoba,r,1,20,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,21,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,22,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,23,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,24,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,25,-31.627935,-64.70824,1818,0,1,0,innes,,,,,
4,Argentina,Cordoba,r,1,26,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,27,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,28,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,29,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,30,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,31,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,32,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,33,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,34,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,35,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,36,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,37,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,38,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,39,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,40,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,41,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,42,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,43,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,44,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,45,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,46,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,47,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
4,Argentina,Cordoba,r,1,48,-31.627935,-64.70824,1818,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,1,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,2,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,3,-31.19221,-64.36372,819,0,1,0,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,4,-31.19221,-64.36372,819,0,0,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,5,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,6,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,7,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,8,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,9,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,10,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,11,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,12,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,13,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,14,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,15,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,16,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,17,-31.19221,-64.36372,819,1,1,1,innes,,,,,
5,Argentina,Guido Buffo crypt,r,1,18,-31.19221,-64.36372,819,0,0,1,innes,,,,,
