Contemporary_pop,Contemporary_HCN,Contemporary_Ac,Contemporary_Li,Contemporary_MWT,Historical_pop,Historical_HCN,Historical_Ac,Historical_Li,Historical_MWT,Delta_HCN,Delta_Ac,Delta_Li,Delta_MWT,Origin
102.106,0.138235294,0.236237452,0.16814065,-0.960000002,182,0.078,0.065120329,0.124214638,-2.920000029,0.060235294,0.171117123,0.043926012,1.960000026,native
96,0.05,0.148530682,0.025320566,-0.74000001,184,0.031,0.015622024,0.015622024,-2.420000017,0.019,0.132908658,0.009698542,1.680000007,native
93,0.15,0.258380151,0.091704894,0.319999981,185,0.091,0.121364695,0.127073886,-0.620000014,0.059,0.137015456,-0.035368992,0.939999995,native
72,0.951219512,1,0.779136948,6.540000057,186,0.857,1,0.621846592,4.240000057,0.094219512,0,0.157290356,2.3,native
154,0.622222222,0.634851628,0.403715206,3.400000012,187,0.828,0.666833375,0.715395011,1.1,-0.205777778,-0.031981747,-0.311679805,2.300000012,native
68,0.8125,0.795875855,0.618118692,7.300000191,188,0.802,0.783205166,0.611412815,5.180000114,0.0105,0.012670689,0.006705877,2.120000076,native
64,0.894736842,1,0.675557158,7.160000038,189,0.817,1,0.572215007,5.020000124,0.077736842,0,0.103342151,2.139999914,native
124,0.088888889,0.333333333,0.081063417,1.160000002,192,0.648,0.574559052,0.514201688,-0.660000023,-0.559111111,-0.241225719,-0.433138271,1.820000026,native
126,0.066666667,0.225403331,0.033908217,0.759999999,193,0.175,0.5,0.148530682,-0.920000005,-0.108333333,-0.274596669,-0.114622465,1.680000004,native
122,0.854166667,0.795875855,0.677251388,1.039999986,195,0.601,0.617900537,0.443223564,-0.840000021,0.253166667,0.177975318,0.234027824,1.880000007,native
88,0.083333333,0.25,0.064585653,1.46000005,196,0.083,0.04239883,0.18329932,0.479999992,0.000333333,0.20760117,-0.118713667,0.980000058,native
100.101,0.476190476,0.347639457,0.337839909,-0.82,197,0.083,0.048159677,0.098334874,-2.520000076,0.393190476,0.29947978,0.239505035,1.700000076,native
105,0.025,0.012579117,0.012579117,0.239999934,199,0.012,0.018164983,0.845080666,-1.54000001,0.013,-0.005585866,-0.832501549,1.779999943,native
110,0.302325581,0.335274143,0.178770066,2.479999983,200,0.018,0.017655865,0.092255543,1.260000014,0.284325581,0.317618278,0.086514523,1.219999969,native
108,0,0,0,-0.120000021,201,0.012,0.031495999,0.070483997,-2.400000012,-0.012,-0.031495999,-0.070483997,2.279999991,native
119,0.3,0.329179607,0.292893219,-1.620000005,202,0.287,0.393369964,0.305017986,-3.880000067,0.013,-0.064190357,-0.012124767,2.260000062,native
82,0.275,0.225403331,0.310797562,4.140000105,203,0.275,0.315894745,0.322504613,2.120000064,0,-0.090491414,-0.011707051,2.020000041,native
61,0.888888889,1,0.666666667,9.360000038,206,0.955,1,0.787867966,7.300000191,-0.066111111,0,-0.121201299,2.059999847,native
155,0.714285714,0.672673165,0.5,8.880000019,207,0.877,1,0.649286442,6.100000191,-0.162714286,-0.327326835,-0.149286442,2.779999828,native
161.162,0,0,0.012660283,-10.74000025,209,0,0,0,-11.60000019,0,0,0.012660283,0.859999943,native
157,0.083333333,0.183503419,0.042572892,-2.079999995,210,0.017,0.008536435,0.008536435,-2.920000052,0.066333333,0.174966984,0.034036457,0.840000057,native
113,0.782608696,0.638842441,0.638842441,0.740000001,211,0.706,0.623171126,0.569883737,-1.400000012,0.076608696,0.015671315,0.068958704,2.140000013,native
117,0.9,0.776393202,0.776393202,0.580000007,212,0.488,0.494035574,0.3755002,-1.579999983,0.412,0.282357628,0.400893002,2.15999999,native
32.33,0.79375,0.838625694,0.571888522,2.900000024,218,0.424242424,0.523268705,0.314655583,2.280000043,0.369507576,0.315356989,0.257232939,0.619999981,introduced
34,0,0.722649902,0,5.300000095,219,0.137724551,0.170167032,0.218476844,4.620000124,-0.137724551,0.55248287,-0.218476844,0.679999971,introduced
81,0.090909091,0.231293885,0.095465966,4.400000191,183,0.432,0.467083496,0.401668988,1.940000089,-0.341090909,-0.235789611,-0.306203022,2.460000102,native
77,0.525,0.726138721,0.329179607,4.960000038,190,0.843,1,0.603767745,3.260000038,-0.318,-0.273861279,-0.274588138,1.7,native
69,0.9,1,0.683772234,6.760000134,191,0.928,1,0.731671843,5.060000038,-0.028,0,-0.047899609,1.700000095,native
84,0.020833333,0.3229968,0.031754163,2.940000033,204,0,0.092806526,0.049736879,1.1,0.020833333,0.230190274,-0.017982716,1.840000033,native
54.55,0.197916667,0.4114984,0.165729719,4.720000124,221,0.314102564,0.547089186,0.215535459,3.960000134,-0.116185897,-0.135590786,-0.04980574,0.75999999,introduced
317,0.8608,0.834933333,0.822466667,11.66000013,234,0.941176471,0.757464375,1,15.3800005,-0.080376471,0.077468958,-0.177533333,-3.720000362,introduced
171,0.296296296,0.428511307,0.217188009,-3.219999999,246,0.273502152,0.393303314,0.202357574,-0.540000007,0.022794145,0.035207993,0.014830436,-2.679999992,introduced
