ID,country,city,pop.ind,herb.dmg,u_r,lat,long
56,Spain,Granada,01-Jan,2,urban,37.16702,-3.59729
56,Spain,Granada,02-Jan,1,urban,37.16702,-3.59729
56,Spain,Granada,03-Jan,1,urban,37.16702,-3.59729
56,Spain,Granada,04-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,05-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,06-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,07-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,08-Jan,1,urban,37.16702,-3.59729
56,Spain,Granada,09-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,10-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,11-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,12-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,13-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,14-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,15-Jan,1,urban,37.16702,-3.59729
56,Spain,Granada,16-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,17-Jan,1,urban,37.16702,-3.59729
56,Spain,Granada,18-Jan,3,urban,37.16702,-3.59729
56,Spain,Granada,19-Jan,0,urban,37.16702,-3.59729
56,Spain,Granada,20-Jan,0,urban,37.16702,-3.59729
57,Spain,Granada,01-Feb,0,urban,37.15517,-3.60442
57,Spain,Granada,02-Feb,5,urban,37.15517,-3.60442
57,Spain,Granada,03-Feb,0,urban,37.15517,-3.60442
57,Spain,Granada,04-Feb,4,urban,37.15517,-3.60442
57,Spain,Granada,05-Feb,23,urban,37.15517,-3.60442
57,Spain,Granada,06-Feb,9,urban,37.15517,-3.60442
57,Spain,Granada,07-Feb,13,urban,37.15517,-3.60442
57,Spain,Granada,08-Feb,0,urban,37.15517,-3.60442
57,Spain,Granada,09-Feb,0,urban,37.15517,-3.60442
57,Spain,Granada,10-Feb,26,urban,37.15517,-3.60442
57,Spain,Granada,11-Feb,8,urban,37.15517,-3.60442
57,Spain,Granada,12-Feb,6,urban,37.15517,-3.60442
57,Spain,Granada,13-Feb,18,urban,37.15517,-3.60442
57,Spain,Granada,14-Feb,12,urban,37.15517,-3.60442
57,Spain,Granada,15-Feb,0,urban,37.15517,-3.60442
57,Spain,Granada,16-Feb,6,urban,37.15517,-3.60442
57,Spain,Granada,17-Feb,3,urban,37.15517,-3.60442
57,Spain,Granada,18-Feb,19,urban,37.15517,-3.60442
57,Spain,Granada,19-Feb,2,urban,37.15517,-3.60442
57,Spain,Granada,20-Feb,33,urban,37.15517,-3.60442
58,Spain,Granada,01-Mar,0,urban,37.16437,-3.60014
58,Spain,Granada,02-Mar,0,urban,37.16437,-3.60014
58,Spain,Granada,03-Mar,0,urban,37.16437,-3.60014
58,Spain,Granada,04-Mar,2,urban,37.16437,-3.60014
58,Spain,Granada,05-Mar,0,urban,37.16437,-3.60014
58,Spain,Granada,06-Mar,0,urban,37.16437,-3.60014
58,Spain,Granada,07-Mar,2,urban,37.16437,-3.60014
58,Spain,Granada,08-Mar,0,urban,37.16437,-3.60014
