Pop #,Transect,Population ,Latitude,Longitude,Minimum Winter Temperature,Elevation,N,Freq(AcLi),Freq (Ac),Freq (Li),N
NC8,Mt. Seymour,SEY Low,49.3126,-122.9579,-0.9,81,16,0.188,0.5,0.134,5
NC9,Mt. Seymour,SEY Low,49.3058,-122.97277,-0.4,-4,15,0.267,0.184,0.184,5
NC23,Baker,Mt. Baker Low,48.92442,-122.0776,-1.4,201,21,0.238,0.423,0.213,8
NC24,Baker,Mt. Baker Low,48.91683,-122.1427,-1.1,141,22,0.409,0.478,0.293,8
NC1,Cypress Mountain,CYP Low,49.33462,-123.17058,-0.4,64,19,0.211,0.438,0.205,5
NC2,Cypress Mountain,CYP Low,49.33475,-123.1602,-0.4,79,18,0.278,0.333,0.255,5
NC3,Cypress Mountain,CYP Low,49.342,-123.23903,-0.4,92,7,0.286,0.465,0.244,5
LA1,Central U.S.,"New Orleans, LA",30.98333,-90.5103,2.8,81,7,1,1,1,
LA2,Central U.S.,"New Orleans, LA",30.33883,-90.0382,4,13,10,0.8,1,0.553,10
LA3,Central U.S.,"New Orleans, LA",30.358,-90.0207,4,6,9,0.889,1,0.667,9
LA4,Central U.S.,"New Orleans, LA",30.49267,-90.098,3.6,13,9,0.556,0.529,0.529,8
LA5,Central U.S.,"New Orleans, LA",29.98517,-90.1012,5.5,3,9,1,1,1,
LA6,Central U.S.,"New Orleans, LA",29.98667,-90.0993,5.5,8,10,1,1,1,10
LA7,Central U.S.,"New Orleans, LA",30.02,-90.1073,5.3,4,10,0.5,0.293,0.684,
LA8,Central U.S.,"New Orleans, LA",30.02217,-90.1133,5.3,4,9,0.889,1,0.667,9
LA9,Central U.S.,"New Orleans, LA",30.2685,-89.7807,4.3,9,10,0.7,0.684,0.553,
LA10,Central U.S.,"New Orleans, LA",30.31583,-89.9437,4.1,13,10,0.9,0.684,1,
LA11,Central U.S.,"New Orleans, LA",30.27783,-89.7835,4.3,6,10,0.9,1,0.684,
LA12,Central U.S.,"New Orleans, LA",30.27383,-89.7777,4.3,9,9,0.889,0.667,1,9
LA13,Central U.S.,"New Orleans, LA",30.01817,-90.0422,5.2,1,10,1,1,1,10
LA14,Central U.S.,"New Orleans, LA",30.012,-90.0903,5.3,1,9,0.889,0.667,1,
LA15,Central U.S.,"New Orleans, LA",29.9995,-90.214,5.4,1,10,1,1,1,
MSJ1,Central U.S.,"Jackson, MS",32.46402,-90.122,1.1,109,10,0.8,0.684,0.684,10
MSJ2,Central U.S.,"Jackson, MS",32.43213,-90.1402,1.1,115,9,0.556,0.529,0.529,7
MSJ3,Central U.S.,"Jackson, MS",32.41262,-90.1198,1.2,107,10,0.6,0.684,0.452,
MSJ4,Central U.S.,"Jackson, MS",32.42003,-90.1432,1.1,110,9,0.333,0.423,0.423,7
MSJ5,Central U.S.,"Jackson, MS",32.35035,-90.2018,1.2,106,10,0.4,0.293,0.368,10
MSJ6,Central U.S.,"Jackson, MS",32.37943,-90.2551,1.3,91,10,0.6,0.368,0.553,
MSJ7,Central U.S.,"Jackson, MS",32.37158,-90.2749,1.3,89,10,0.6,0.553,0.452,
MSJ8,Central U.S.,"Jackson, MS",32.35885,-90.2985,1.2,94,9,0.333,0.667,0.255,9
MSJ9,Central U.S.,"Jackson, MS",32.35842,-90.3359,1.2,108,9,0.444,0.423,0.423,
MSJ10,Central U.S.,"Jackson, MS",32.33325,-90.1523,1.2,91,10,0.8,0.684,0.684,
MSJ11,Central U.S.,"Jackson, MS",32.32633,-90.1732,1.2,111,10,0.8,1,0.553,
MSJ12,Central U.S.,"Jackson, MS",32.2662,-90.227,1.3,101,10,0.4,1,0.225,
MSJ13,Central U.S.,"Jackson, MS",32.28583,-90.1991,1.3,91,10,0.1,0.163,0.163,
MSJ14,Central U.S.,"Jackson, MS",32.29588,-90.2022,1.3,100,10,0.3,0.225,0.452,
MSJ15,Central U.S.,"Jackson, MS",32.30293,-90.198,1.3,91,10,0,0.163,0.225,
MSG1,Central U.S.,"Grenada, MS",33.77337,-89.8079,-0.9,62,9,0.222,0.255,0.333,
MSG2,Central U.S.,"Grenada, MS",33.76268,-89.8043,-0.9,65,10,0.1,0.051,0.553,
MSG3,Central U.S.,"Grenada, MS",33.78017,-89.8052,-0.9,63,10,0,0,0.163,
MSG4,Central U.S.,"Grenada, MS",33.75748,-89.7939,-0.8,65,10,0.7,0.452,0.553,10
MSG5,Central U.S.,"Grenada, MS",33.76518,-89.8204,-0.9,71,9,0.222,0.184,0.423,
MSG6,Central U.S.,"Grenada, MS",33.76545,-89.9771,-0.4,57,7,0.286,0.155,0.465,
MSG7,Central U.S.,"Grenada, MS",33.76123,-89.9765,-0.4,57,9,0.444,0.333,0.529,
MSG8,Central U.S.,"Grenada, MS",33.78657,-89.8378,-0.8,82,10,0.8,0.684,0.684,
MSG9,Central U.S.,"Grenada, MS",33.80372,-89.7706,-0.9,58,9,0.889,1,0.667,
MSG10,Central U.S.,"Grenada, MS",33.83118,-89.7789,-0.9,59,10,0.4,0.553,0.293,10
MSG11,Central U.S.,"Grenada, MS",33.77817,-89.7766,-0.9,82,9,0.444,0.423,0.529,
MSG12,Central U.S.,"Grenada, MS",33.78785,-89.8109,-0.9,59,10,0.2,0.293,0.293,10
MSG13,Central U.S.,"Grenada, MS",33.82387,-89.8376,-0.8,59,10,0.8,0.684,0.684,10
MSG14,Central U.S.,"Grenada, MS",34.05592,-89.9148,-0.8,106,10,0.3,0.163,0.553,
MSG15,Central U.S.,"Grenada, MS",34.1575,-89.9064,-0.8,71,10,0.4,0.452,0.293,10
MTN1,Central U.S.,"Memphis, TN",35.19388,-89.9117,-1.2,83,10,0.3,0.368,0.452,7
MTN2,Central U.S.,"Memphis, TN",35.19688,-89.8617,-1.3,92,9,0.556,0.423,0.423,
MTN3,Central U.S.,"Memphis, TN",35.21735,-89.8404,-1.3,98,9,0.333,0.333,0.529,
